,precision,recall,f1-score,support
0,0.6938775510204082,0.6538461538461539,0.6732673267326732,52.0
1,0.4857142857142857,0.53125,0.5074626865671641,32.0
accuracy,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571
macro avg,0.5897959183673469,0.5925480769230769,0.5903650066499186,84.0
weighted avg,0.6145772594752187,0.6071428571428571,0.6101036542886698,84.0
